date,Sun-Earth (AU),Sun-Cassini (AU),Earth-Cassini (AU),Impact parameter (AU),Impact parameter (Rsun),LE (AU),LC (AU),LE/rE,LC/rC,LE/rE + LC/rC,Shapiro (s),Shapiro (us),Shapiro JG (s),Shapiro JG (us),y,y x1e13,yJG,yJG x1e13,Shapiro approx (s),Difference (ns)
A.D. 2002-Jun-06 00:18:00.0000,1.0147037916562642,7.3695973063587585,8.356196990119912,0.22269441894260378,47.88646096102813,0.9899651410900362,7.366231849029875,0.9756198303685768,0.9995433322624047,-0.024836837369018427,6.294452688288686e-05,62.94452688288686,7.267317516185978e-05,72.67317516185977,1.4684715915227616e-11,146.84715915227616,1.486655545158048e-11,148.6655545158048,6.306759867931844e-05,-123.07179643157801
A.D. 2002-Jun-06 00:19:00.0000,1.0147038881041717,7.369599656698833,8.356201938101474,0.2226846308233775,47.88435620065094,0.9899674417518888,7.366234496349584,0.975622004959004,0.99954337270598,-0.02483462233501621,6.294540798551258e-05,62.945407985512574,7.267406717461541e-05,72.67406717461542,1.4685371638668655e-11,146.85371638668656,1.4867203099861154e-11,148.67203099861155,6.306846873959621e-05,-123.06075408363378
A.D. 2002-Jun-06 00:20:00.0000,1.0147039845497068,7.369602007037174,8.356206885968763,0.22267484268370652,47.882251435877485,0.9899697423137932,7.36623714365497,0.9756241794527989,0.9995434131478211,-0.024832407399379752,6.29462891274835e-05,62.9462891274835,7.267495922623176e-05,72.67495922623176,1.4686027421627875e-11,146.86027421627875,1.486785080788588e-11,148.6785080788588,6.30693388397216e-05,-123.0497122380953
A.D. 2002-Jun-06 00:21:00.0000,1.0147040809928694,7.369604357373777,8.356211833721776,0.22266505452359175,47.88014666670796,0.989972042775749,7.366239790946026,0.9756263538499613,0.9995434535879278,-0.02483019256211061,6.294717030880317e-05,62.94717030880317,7.267585131671236e-05,72.67585131671235,1.4686683268848664e-11,146.86683268848662,1.486849858005924e-11,148.6849858005924,6.307020897969812e-05,-123.03867089494898
A.D. 2002-Jun-06 00:22:00.0000,1.0147041774336594,7.369606707708644,8.356216781360516,0.2226552663430343,47.8780418931426,0.9899743431377561,7.366242438222757,0.9756285281504914,0.9995434940263003,-0.024827977823208336,6.294805152947576e-05,62.94805152947576,7.267674344606137e-05,72.67674344606137,1.4687339161696295e-11,146.87339161696295,1.4869146397746503e-11,148.69146397746502,6.307107915952927e-05,-123.02763005350367
A.D. 2002-Jun-06 00:23:00.0000,1.0147042738720773,7.369609058041773,8.356221728884973,0.22264547814203509,47.8759371151816,0.9899766433998148,7.366245085485159,0.9756307023543888,0.9995435344629383,-0.024825763182672933,6.294893278950258e-05,62.94893278950258,7.267763561428009e-05,72.67763561428009,1.4687995114062105e-11,146.87995114062105,1.4869794275064883e-11,148.69794275064882,6.307194937921852e-05,-123.01658971594132
A.D. 2002-Jun-06 00:24:00.0000,1.0147043703081222,7.369611408373167,8.356226676295158,0.22263568992059526,47.87383233282521,0.9899789435619242,7.3662477327332345,0.9756328764616535,0.9995435748978418,-0.024823548640504622,6.294981408888945e-05,62.94981408888945,7.267852782137437e-05,72.67852782137437,1.4688651149888898e-11,146.88651149888898,1.4870442235731304e-11,148.70442235731304,6.307281963876937e-05,-123.00554987991735
A.D. 2002-Jun-06 00:25:00.0000,1.0147044667417944,7.369613758702821,8.356231623591064,0.22262590167871538,47.87172754607356,0.9899812436240842,7.366250379966979,0.9756350504722856,0.999543615331011,-0.024821334196703404,6.295069542764056e-05,62.95069542764056,7.267942006734838e-05,72.67942006734837,1.4689307221629885e-11,146.89307221629886,1.4871090232311926e-11,148.71090232311926,6.307368993818537e-05,-122.99451054480834
A.D. 2002-Jun-06 00:26:00.0000,1.0147045631730942,7.369616109030742,8.356236570772696,0.22261611341639684,47.86962275492693,0.9899835435862951,7.366253027186399,0.9756372243862848,0.9995436557624457,-0.024819119851269278,6.295157680575605e-05,62.95157680575605,7.268031235220225e-05,72.68031235220225,1.4689963343515224e-11,146.89963343515223,1.487173827914983e-11,148.71738279149832,6.307456027746998e-05,-122.98347171393463
A.D. 2002-Jun-06 00:27:00.0000,1.0147046596020206,7.369618459356925,8.356241517840045,0.22260632513364045,47.867517959385516,0.9899858434485559,7.36625567439149,0.975639398203651,0.9995436961921461,-0.024816905604203132,6.295245822324178e-05,62.952458223241784,7.268120467594188e-05,72.68120467594187,1.4690619544344033e-11,146.90619544344034,1.4872386404818273e-11,148.72386404818272,6.30754306566267e-05,-122.97243338491103
A.D. 2002-Jun-06 00:28:00.0000,1.0147047560285742,7.369620809681369,8.356246464793118,0.22259653683044708,47.86541315944949,0.9899881432108668,7.366258321582252,0.975641571924384,0.9995437366201121,-0.02481469145550408,6.295333968010137e-05,62.953339680101365,7.268209703857083e-05,72.68209703857083,1.4691275795204255e-11,146.91275795204254,1.487303458051813e-11,148.7303458051813,6.307630107565904e-05,-122.96139555766973
A.D. 2002-Jun-06 00:29:00.0000,1.0147048524527549,7.369623160004078,8.356251411631915,0.22258674850681798,47.863308355119116,0.9899904428732277,7.366260968758686,0.9756437455484841,0.9995437770463436,-0.024812477405172118,6.295422117633721e-05,62.95422117633721,7.268298944009154e-05,72.68298944009153,1.4691932105695598e-11,146.91932105695597,1.487368281596204e-11,148.7368281596204,6.30771715345705e-05,-122.95035823329495
A.D. 2002-Jun-06 00:30:00.0000,1.014704948874562,7.369625510325053,8.356256358356433,0.22257696016275405,47.861203546394606,0.989992742435638,7.366263615920795,0.975645919075951,0.9995438174708405,-0.02481026345320858,6.295510271195405e-05,62.95510271195405,7.268388188050874e-05,72.68388188050875,1.4692588466557163e-11,146.92588466557163,1.487433110166324e-11,148.7433110166324,6.307804203336456e-05,-122.93932141051276
